UserID,SessionTime,ProductID,Category,Event,NotificationType,NotificationTime,Response
8270,2024-02-28 04:50:00,612,Books,Viewed,New Arrival,2024-02-28 03:30:00,Yes
1860,2024-01-11 03:12:00,168,Clothing,Viewed,Reminder,2024-01-11 02:19:00,No
6390,2024-01-03 06:38:00,904,Clothing,Viewed,New Arrival,2024-01-03 05:48:00,No
6191,2024-03-08 11:56:00,329,Books,Viewed,Reminder,2024-03-08 11:26:00,Yes
6734,2024-01-26 00:48:00,822,Clothing,Viewed,New Arrival,2024-01-25 22:52:00,No
7265,2024-01-23 06:58:00,171,Electronics,Viewed,Reminder,2024-01-23 06:07:00,Yes
1466,2024-01-21 07:36:00,974,Clothing,Viewed,Reminder,2024-01-21 06:52:00,Yes
5426,2024-01-13 16:49:00,707,Books,Viewed,Reminder,2024-01-13 15:39:00,Yes
6578,2024-03-08 00:50:00,496,Books,Viewed,New Arrival,2024-03-08 00:44:00,Yes
9322,2024-01-10 07:54:00,183,Grocery,Viewed,New Arrival,2024-01-10 06:28:00,Yes
2685,2024-03-02 14:16:00,839,Grocery,Viewed,New Arrival,2024-03-02 12:22:00,No
1769,2024-03-08 10:00:00,398,Books,Viewed,Reminder,2024-03-08 09:03:00,Yes
7949,2024-03-22 04:59:00,847,Electronics,Viewed,Reminder,2024-03-22 03:24:00,Yes
3433,2024-02-19 15:22:00,392,Grocery,Viewed,New Arrival,2024-02-19 14:46:00,Yes
6311,2024-01-08 21:55:00,833,Books,Viewed,New Arrival,2024-01-08 20:32:00,No
6051,2024-02-23 17:57:00,322,Grocery,Viewed,Discount,2024-02-23 17:45:00,No
7420,2024-02-08 09:42:00,892,Grocery,Viewed,Discount,2024-02-08 07:51:00,No
2184,2024-01-03 21:25:00,832,Books,Viewed,Discount,2024-01-03 21:03:00,Yes
5555,2024-01-03 17:05:00,315,Clothing,Viewed,Discount,2024-01-03 15:34:00,No
4385,2024-01-09 12:40:00,330,Electronics,Viewed,Discount,2024-01-09 12:36:00,No
7396,2024-01-20 21:37:00,504,Clothing,Viewed,New Arrival,2024-01-20 20:23:00,No
9666,2024-01-22 04:15:00,268,Books,Viewed,Reminder,2024-01-22 02:54:00,No
3558,2024-02-15 23:57:00,428,Books,Viewed,Reminder,2024-02-15 22:15:00,No
8849,2024-02-24 19:07:00,525,Electronics,Viewed,New Arrival,2024-02-24 17:28:00,Yes
3047,2024-01-03 09:58:00,653,Books,Viewed,New Arrival,2024-01-03 08:27:00,Yes
3747,2024-02-21 02:03:00,869,Grocery,Viewed,New Arrival,2024-02-21 01:23:00,Yes
1189,2024-01-19 02:22:00,295,Electronics,Viewed,Discount,2024-01-19 01:10:00,Yes
